problem_id,file,verdict,calls,missing
36,36_RMSNorm_.py,covered,nn.Module; torch.Tensor; torch.mean; torch.nn; torch.rand; torch.sqrt,
37,37_FrobeniusNorm_.py,covered,nn.Module; torch.Tensor; torch.nn; torch.norm; torch.rand,
38,38_L1Norm_.py,covered,nn.Module; torch.Tensor; torch.abs; torch.mean; torch.nn; torch.rand,
39,39_L2Norm_.py,covered,nn.Module; torch.Tensor; torch.nn; torch.norm; torch.rand,
40,40_LayerNorm.py,covered,nn.LayerNorm; nn.Module; torch.Tensor; torch.nn; torch.rand,
41,41_Max_Pooling_1D.py,gap,nn.MaxPool1d; nn.Module; torch.Tensor; torch.nn; torch.rand,nn.MaxPool1d (max_pool1d)
42,42_Max_Pooling_2D.py,covered,nn.MaxPool2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
43,43_Max_Pooling_3D.py,covered,nn.MaxPool3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
44,44_Average_Pooling_1D.py,gap,nn.AvgPool1d; nn.Module; torch.Tensor; torch.nn; torch.rand,nn.AvgPool1d (avg_pool1d)
45,45_Average_Pooling_2D.py,covered,nn.AvgPool2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
46,46_Average_Pooling_3D.py,covered,nn.AvgPool3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
47,47_Sum_reduction_over_a_dimension.py,covered,nn.Module; torch.Tensor; torch.nn; torch.rand; torch.sum,
48,48_Mean_reduction_over_a_dimension.py,covered,nn.Module; torch.Tensor; torch.mean; torch.nn; torch.rand,
49,49_Max_reduction_over_a_dimension.py,covered,nn.Module; torch.Tensor; torch.max; torch.nn; torch.rand,
50,50_conv_standard_2D__square_input__square_kernel.py,covered,nn.Conv2d; nn.Module; nn.functional; torch.nn; torch.rand,
51,51_Argmax_over_a_dimension.py,covered,nn.Module; torch.Tensor; torch.argmax; torch.nn; torch.rand,
52,52_Argmin_over_a_dimension.py,covered,nn.Module; torch.Tensor; torch.argmin; torch.nn; torch.rand,
53,53_Min_reduction_over_a_dimension.py,covered,nn.Module; torch.Tensor; torch.min; torch.nn; torch.rand,
54,54_conv_standard_3D__square_input__square_kernel.py,covered,nn.Conv3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
55,55_conv_standard_2D__asymmetric_input__square_kernel.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
56,56_conv_standard_2D__asymmetric_input__asymmetric_kernel.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
57,57_conv_transposed_2D__square_input__square_kernel.py,covered,nn.ConvTranspose2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
58,58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,covered,nn.ConvTranspose3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
59,59_conv_standard_3D__asymmetric_input__square_kernel.py,covered,nn.Conv3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
60,60_conv_standard_3D__square_input__asymmetric_kernel.py,covered,nn.Conv3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
61,61_conv_transposed_3D__square_input__square_kernel.py,covered,nn.ConvTranspose3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
62,62_conv_standard_2D__square_input__asymmetric_kernel.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
63,63_conv_standard_2D__square_input__square_kernel.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
64,64_conv_transposed_1D.py,covered,nn.ConvTranspose1d; nn.Module; torch.Tensor; torch.nn; torch.rand,
65,65_conv_transposed_2D__square_input__asymmetric_kernel.py,covered,nn.ConvTranspose2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
66,66_conv_standard_3D__asymmetric_input__asymmetric_kernel.py,covered,nn.Conv3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
67,67_conv_standard_1D.py,covered,nn.Conv1d; nn.Module; torch.Tensor; torch.nn; torch.rand,
68,68_conv_transposed_3D__square_input__asymmetric_kernel.py,covered,nn.ConvTranspose3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
69,69_conv_transposed_2D__asymmetric_input__asymmetric_kernel.py,covered,nn.ConvTranspose2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
70,70_conv_transposed_3D__asymmetric_input__square_kernel.py,covered,nn.ConvTranspose3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
71,71_conv_transposed_2D__asymmetric_input__square_kernel.py,covered,nn.ConvTranspose2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
72,72_conv_transposed_3D_asymmetric_input_asymmetric_kernel___strided_padded_grouped_.py,covered,nn.ConvTranspose3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
73,73_conv_transposed_3D_asymmetric_input_square_kernel__strided_padded__grouped.py,covered,nn.ConvTranspose3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
74,74_conv_transposed_1D_dilated.py,covered,nn.ConvTranspose1d; nn.Module; torch.Tensor; torch.nn; torch.rand,
75,75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,covered,nn.ConvTranspose2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
76,76_conv_standard_1D_dilated_strided__.py,covered,nn.Conv1d; nn.Module; torch.Tensor; torch.nn; torch.rand,
77,77_conv_transposed_3D_square_input_square_kernel___padded____dilated____strided__.py,covered,nn.ConvTranspose3d; nn.Module; torch.Tensor; torch.nn; torch.rand,
78,78_conv_transposed_2D_asymmetric_input_asymmetric_kernel___padded__.py,covered,nn.ConvTranspose2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
79,79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__.py,covered,nn.ConvTranspose1d; nn.Module; torch.Tensor; torch.nn; torch.rand,
80,80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
81,81_conv_transposed_2D_asymmetric_input_square_kernel___dilated____padded____strided__.py,covered,nn.ConvTranspose2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
82,82_conv_depthwise_2D_square_input_square_kernel.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
83,83_conv_depthwise_2D_square_input_asymmetric_kernel.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
84,84_conv_depthwise_2D_asymmetric_input_square_kernel.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
85,85_conv_depthwise_2D_asymmetric_input_asymmetric_kernel.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
86,86_conv_depthwise_separable_2D.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
87,87_conv_pointwise_2D.py,covered,nn.Conv2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
88,88_MinGPTNewGelu.py,covered,nn.Module; nn.functional; torch.nn; torch.pow; torch.rand; torch.tanh,
89,89_cumsum.py,covered,nn.Module; torch.Tensor; torch.cumsum; torch.nn; torch.rand,
90,90_cumprod.py,covered,nn.Module; torch.Tensor; torch.cumprod; torch.nn; torch.rand,
91,91_cumsum_reverse.py,covered,nn.Module; torch.cumsum; torch.nn; torch.rand,
92,92_cumsum_exclusive.py,covered,nn.Module; torch.cat; torch.cumsum; torch.nn; torch.rand; torch.zeros_like,
93,93_masked_cumsum.py,covered,nn.Module; torch.Tensor; torch.cumsum; torch.nn; torch.rand; torch.randint,
94,94_MSELoss.py,covered,nn.Module; torch.mean; torch.nn; torch.rand,
95,95_CrossEntropyLoss.py,covered,F.cross_entropy; nn.Module; torch.nn; torch.rand; torch.randint,
96,96_HuberLoss.py,covered,F.smooth_l1_loss; nn.Module; torch.nn; torch.rand,
97,97_ScaledDotProductAttention.py,covered,F.scaled_dot_product_attention; nn.Module; torch.Tensor; torch.nn; torch.rand,
98,98_KLDivLoss.py,gap,F.kl_div; nn.Module; torch.log; torch.nn; torch.rand,F.kl_div (kl_div)
99,99_TripletMarginLoss.py,gap,nn.Module; nn.TripletMarginLoss; torch.nn; torch.rand,nn.TripletMarginLoss (triplet_margin)
100,100_HingeLoss.py,covered,nn.Module; torch.clamp; torch.mean; torch.nn; torch.rand; torch.randint,
