problem_id,problem_name,compiled,correctness,runtime_ms,reference_runtime_ms,speedup_over_eager,wall_time_seconds,status
28,28_HardSigmoid.py,True,True,68.0,18.2,0.2676470588235294,147.541,ok
29,29_Softplus.py,True,True,68.0,26.1,0.38382352941176473,149.16,ok
30,30_Softsign.py,True,True,27.5,142.0,5.163636363636364,155.47,ok
31,31_ELU.py,True,True,66.7,18.1,0.27136431784107945,147.473,ok
32,32_HardTanh.py,True,True,68.4,18.2,0.2660818713450292,147.244,ok
33,33_BatchNorm.py,True,True,236.0,22.6,0.09576271186440678,119.428,ok
34,34_InstanceNorm.py,True,True,44.5,31.5,0.7078651685393258,164.321,ok
35,35_GroupNorm_.py,True,True,95.6,32.9,0.34414225941422594,169.858,ok
36,36_RMSNorm_.py,True,True,33.9,54.4,1.6047197640117994,166.789,ok
37,37_FrobeniusNorm_.py,True,True,370.0,31.6,0.08540540540540541,200.563,ok
38,38_L1Norm_.py,True,True,39.9,180.0,4.511278195488722,197.682,ok
39,39_L2Norm_.py,True,True,39.7,157.0,3.954659949622166,194.257,ok
40,40_LayerNorm.py,True,True,23.1,6.23,0.2696969696969697,36.755,ok
41,41_Max_Pooling_1D.py,True,True,63.9,55.4,0.86697965571205,88.946,ok
42,42_Max_Pooling_2D.py,True,True,326.0,62.1,0.19049079754601228,102.953,ok
43,43_Max_Pooling_3D.py,True,True,121.0,27.5,0.22727272727272727,102.807,ok
44,44_Average_Pooling_1D.py,True,True,40.7,39.2,0.9631449631449631,69.556,ok
45,45_Average_Pooling_2D.py,True,True,156.0,164.0,1.0512820512820513,289.707,ok
46,46_Average_Pooling_3D.py,True,True,250.0,83.1,0.3324,179.436,ok
47,47_Sum_reduction_over_a_dimension.py,True,True,17.6,16.0,0.9090909090909091,146.152,ok
48,48_Mean_reduction_over_a_dimension.py,True,True,17.6,15.5,0.8806818181818181,146.104,ok
49,49_Max_reduction_over_a_dimension.py,True,True,17.3,15.5,0.8959537572254335,146.137,ok
50,50_conv_standard_2D__square_input__square_kernel.py,True,True,464.0,5.15,0.011099137931034484,83.655,ok
51,51_Argmax_over_a_dimension.py,True,True,20.0,15.5,0.775,145.32,ok
52,52_Argmin_over_a_dimension.py,True,True,20.0,15.5,0.775,146.206,ok
53,53_Min_reduction_over_a_dimension.py,True,True,17.3,15.5,0.8959537572254335,146.733,ok
54,54_conv_standard_3D__square_input__square_kernel.py,True,True,609.0,29.3,0.048111658456486045,101.518,ok
55,55_conv_standard_2D__asymmetric_input__square_kernel.py,True,True,6220.0,35.9,0.005771704180064309,728.705,ok
56,56_conv_standard_2D__asymmetric_input__asymmetric_kernel.py,True,True,4780.0,32.9,0.0068828451882845185,558.79,ok
57,57_conv_transposed_2D__square_input__square_kernel.py,True,True,4120.0,60.4,0.014660194174757281,515.863,ok
58,58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,True,True,442.0,284.0,0.6425339366515838,110.106,ok
59,59_conv_standard_3D__asymmetric_input__square_kernel.py,True,True,1110.0,51.5,0.046396396396396394,162.226,ok
60,60_conv_standard_3D__square_input__asymmetric_kernel.py,True,True,1330.0,71.3,0.053609022556390974,185.049,ok
61,61_conv_transposed_3D__square_input__square_kernel.py,True,True,1830.0,373.0,0.20382513661202187,276.438,ok
62,62_conv_standard_2D__square_input__asymmetric_kernel.py,True,True,3050.0,22.9,0.007508196721311475,368.704,ok
63,63_conv_standard_2D__square_input__square_kernel.py,True,True,7020.0,39.3,0.005598290598290598,814.695,ok
64,64_conv_transposed_1D.py,True,True,2320.0,29.2,0.012586206896551724,316.394,ok
65,65_conv_transposed_2D__square_input__asymmetric_kernel.py,True,True,2240.0,36.3,0.016205357142857143,286.277,ok
66,66_conv_standard_3D__asymmetric_input__asymmetric_kernel.py,True,True,647.0,35.4,0.05471406491499227,105.382,ok
67,67_conv_standard_1D.py,True,True,1790.0,13.8,0.007709497206703911,243.144,ok
68,68_conv_transposed_3D__square_input__asymmetric_kernel.py,True,True,9860.0,1430.0,0.14503042596348883,1240.951,ok
69,69_conv_transposed_2D__asymmetric_input__asymmetric_kernel.py,True,True,3260.0,36.0,0.011042944785276074,397.661,ok
70,70_conv_transposed_3D__asymmetric_input__square_kernel.py,True,True,3070.0,1250.0,0.40716612377850164,519.303,ok
71,71_conv_transposed_2D__asymmetric_input__square_kernel.py,True,True,648.0,15.3,0.02361111111111111,110.13,ok
72,72_conv_transposed_3D_asymmetric_input_asymmetric_kernel___strided_padded_grouped_.py,True,False,-1.0,318.0,,66.791,ok
73,73_conv_transposed_3D_asymmetric_input_square_kernel__strided_padded__grouped.py,True,True,1240.0,778.0,0.6274193548387097,253.217,ok
74,74_conv_transposed_1D_dilated.py,True,True,732.0,9.6,0.013114754098360656,119.23,ok
75,75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,True,True,485.0,32.0,0.06597938144329897,88.302,ok
76,76_conv_standard_1D_dilated_strided__.py,True,True,4700.0,39.4,0.008382978723404254,657.419,ok
77,77_conv_transposed_3D_square_input_square_kernel___padded____dilated____strided__.py,True,True,725.0,203.0,0.28,132.443,ok
78,78_conv_transposed_2D_asymmetric_input_asymmetric_kernel___padded__.py,True,True,1360.0,34.8,0.025588235294117644,189.9,ok
79,79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__.py,True,True,461.0,19.1,0.04143167028199567,87.267,ok
80,80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,True,True,2990.0,22.6,0.007558528428093646,362.875,ok
81,81_conv_transposed_2D_asymmetric_input_square_kernel___dilated____padded____strided__.py,True,True,323.0,12.8,0.039628482972136225,67.97,ok
82,82_conv_depthwise_2D_square_input_square_kernel.py,True,True,208.0,28.4,0.13653846153846153,70.947,ok
83,83_conv_depthwise_2D_square_input_asymmetric_kernel.py,True,True,87.6,8.01,0.09143835616438356,48.0,ok
84,84_conv_depthwise_2D_asymmetric_input_square_kernel.py,True,True,840.0,113.0,0.13452380952380952,194.743,ok
85,85_conv_depthwise_2D_asymmetric_input_asymmetric_kernel.py,True,True,128.0,25.9,0.20234375,54.494,ok
86,86_conv_depthwise_separable_2D.py,True,True,1780.0,34.5,0.019382022471910114,244.969,ok
87,87_conv_pointwise_2D.py,True,True,6160.0,23.1,0.0037500000000000003,771.072,ok
88,88_MinGPTNewGelu.py,True,True,0.819,6.91,8.437118437118437,34.393,ok
89,89_cumsum.py,True,True,561.0,59.3,0.10570409982174687,158.992,ok
90,90_cumprod.py,True,True,561.0,59.3,0.10570409982174687,159.517,ok
91,91_cumsum_reverse.py,True,True,589.0,108.0,0.1833616298811545,166.936,ok
92,92_cumsum_exclusive.py,True,True,584.0,98.9,0.16934931506849316,165.339,ok
93,93_masked_cumsum.py,True,True,1110.0,84.6,0.07621621621621621,295.564,ok
94,94_MSELoss.py,True,True,83.2,35.7,0.4290865384615385,157.06,ok
95,95_CrossEntropyLoss.py,True,True,13.1,3.38,0.2580152671755725,38.348,ok
96,96_HuberLoss.py,True,True,86.0,24.2,0.2813953488372093,156.576,ok
97,97_ScaledDotProductAttention.py,True,True,38200.0,84.4,0.002209424083769634,4262.686,ok
98,98_KLDivLoss.py,True,True,27.3,16.6,0.6080586080586081,64.889,ok
99,99_TripletMarginLoss.py,True,True,27.5,18.7,0.6799999999999999,77.23,ok
100,100_HingeLoss.py,True,True,313.0,42.2,0.13482428115015976,124.709,ok
